Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.55,-0.39,-0.26,-0.37,-0.11,-0.23,-0.24,-0.25,-0.27,-0.33,-0.38,-0.49,-0.32,***,***,-0.25,-0.24,-0.32
1881,-0.2,-0.25,0.01,-0.02,-0.06,-0.37,-0.06,-0.03,-0.23,-0.41,-0.43,-0.28,-0.19,-0.21,-0.31,-0.02,-0.15,-0.36
1882,0.22,0.22,0,-0.36,-0.32,-0.39,-0.37,-0.14,-0.17,-0.53,-0.33,-0.42,-0.22,-0.21,0.05,-0.23,-0.3,-0.34
1883,-0.6,-0.68,-0.16,-0.28,-0.33,-0.26,-0.09,-0.26,-0.34,-0.22,-0.41,-0.26,-0.32,-0.34,-0.56,-0.25,-0.2,-0.32
1884,-0.23,-0.12,-0.65,-0.63,-0.42,-0.52,-0.48,-0.51,-0.45,-0.41,-0.48,-0.4,-0.44,-0.43,-0.2,-0.57,-0.5,-0.45
1885,-1,-0.37,-0.21,-0.53,-0.55,-0.47,-0.39,-0.45,-0.32,-0.3,-0.28,0,-0.41,-0.44,-0.59,-0.43,-0.44,-0.3
1886,-0.68,-0.68,-0.57,-0.35,-0.35,-0.44,-0.2,-0.47,-0.35,-0.32,-0.45,-0.17,-0.42,-0.41,-0.45,-0.42,-0.37,-0.37
1887,-1.07,-0.58,-0.37,-0.43,-0.28,-0.21,-0.23,-0.52,-0.17,-0.41,-0.2,-0.45,-0.41,-0.39,-0.61,-0.36,-0.32,-0.26
1888,-0.53,-0.6,-0.58,-0.25,-0.17,-0.05,0.02,-0.2,-0.14,0.02,-0.04,-0.27,-0.23,-0.25,-0.53,-0.33,-0.08,-0.05
1889,-0.32,0.33,0.05,0.13,-0.06,-0.14,-0.11,-0.17,-0.27,-0.35,-0.62,-0.56,-0.17,-0.15,-0.09,0.04,-0.14,-0.42
1890,-0.66,-0.57,-0.45,-0.37,-0.5,-0.22,-0.25,-0.39,-0.41,-0.09,-0.71,-0.43,-0.42,-0.43,-0.6,-0.44,-0.29,-0.4
1891,-0.61,-0.69,-0.12,-0.34,-0.23,-0.16,-0.14,-0.1,-0.03,-0.27,-0.56,-0.02,-0.27,-0.31,-0.57,-0.23,-0.14,-0.29
1892,-0.45,-0.17,-0.57,-0.49,-0.29,-0.12,-0.39,-0.3,-0.13,-0.23,-0.82,-0.67,-0.39,-0.33,-0.22,-0.45,-0.27,-0.4
1893,-1.48,-0.9,-0.3,-0.31,-0.44,-0.23,-0.13,-0.34,-0.23,-0.24,-0.26,-0.64,-0.46,-0.46,-1.02,-0.35,-0.23,-0.24
1894,-0.87,-0.44,-0.21,-0.6,-0.35,-0.49,-0.25,-0.23,-0.27,-0.25,-0.47,-0.32,-0.39,-0.42,-0.65,-0.38,-0.32,-0.33
1895,-0.74,-0.78,-0.39,-0.24,-0.31,-0.26,-0.19,-0.25,0.01,-0.05,-0.06,-0.25,-0.29,-0.3,-0.61,-0.31,-0.23,-0.03
1896,-0.44,-0.22,-0.5,-0.61,-0.23,0.01,-0.03,-0.07,-0.05,0.13,-0.25,-0.19,-0.2,-0.21,-0.3,-0.44,-0.03,-0.06
1897,-0.38,-0.35,-0.39,-0.06,0.06,-0.14,-0.02,-0.1,-0.04,-0.15,-0.27,-0.29,-0.18,-0.17,-0.31,-0.13,-0.09,-0.15
1898,0.03,-0.44,-0.77,-0.32,-0.32,-0.12,-0.14,-0.17,-0.17,-0.36,-0.47,-0.28,-0.3,-0.3,-0.23,-0.47,-0.14,-0.33
1899,-0.14,-0.68,-0.53,-0.21,-0.28,-0.39,-0.21,-0.04,-0.01,0.05,0.36,-0.49,-0.21,-0.2,-0.37,-0.34,-0.22,0.14
1900,-0.61,-0.07,0.11,-0.15,-0.04,-0.16,-0.15,-0.09,0.01,0.24,-0.16,-0.01,-0.09,-0.13,-0.39,-0.03,-0.13,0.03
1901,-0.34,0.07,0.35,0.1,-0.12,0.03,0.01,-0.14,-0.27,-0.32,-0.2,-0.41,-0.1,-0.07,-0.1,0.11,-0.03,-0.26
1902,-0.16,0.12,-0.38,-0.4,-0.44,-0.44,-0.33,-0.31,-0.33,-0.3,-0.5,-0.65,-0.34,-0.32,-0.15,-0.41,-0.36,-0.38
1903,-0.23,0.19,-0.14,-0.46,-0.49,-0.52,-0.46,-0.6,-0.48,-0.48,-0.44,-0.56,-0.39,-0.4,-0.23,-0.36,-0.52,-0.47
1904,-0.82,-0.57,-0.41,-0.58,-0.5,-0.52,-0.61,-0.53,-0.57,-0.38,-0.12,-0.35,-0.5,-0.51,-0.65,-0.49,-0.55,-0.36
1905,-0.5,-0.81,-0.24,-0.47,-0.33,-0.32,-0.24,-0.24,-0.14,-0.25,0.06,-0.26,-0.31,-0.32,-0.55,-0.34,-0.27,-0.11
1906,-0.56,-0.58,-0.18,0.05,-0.24,-0.11,-0.28,-0.13,-0.2,-0.15,-0.4,0.01,-0.23,-0.25,-0.46,-0.12,-0.17,-0.25
1907,-0.54,-0.72,-0.27,-0.48,-0.61,-0.52,-0.42,-0.37,-0.37,-0.2,-0.6,-0.59,-0.47,-0.42,-0.42,-0.45,-0.44,-0.39
1908,-0.53,-0.25,-0.68,-0.49,-0.37,-0.37,-0.41,-0.56,-0.3,-0.45,-0.59,-0.54,-0.46,-0.47,-0.46,-0.51,-0.45,-0.45
1909,-0.87,-0.47,-0.61,-0.68,-0.52,-0.52,-0.43,-0.31,-0.31,-0.28,-0.1,-0.54,-0.47,-0.47,-0.63,-0.6,-0.42,-0.23
1910,-0.39,-0.42,-0.48,-0.37,-0.33,-0.45,-0.39,-0.41,-0.37,-0.27,-0.55,-0.79,-0.43,-0.41,-0.45,-0.39,-0.41,-0.4
1911,-0.74,-0.58,-0.6,-0.43,-0.48,-0.33,-0.38,-0.41,-0.31,-0.12,-0.13,-0.3,-0.4,-0.44,-0.71,-0.5,-0.37,-0.19
1912,-0.36,-0.12,-0.56,-0.22,-0.16,-0.19,-0.56,-0.77,-0.71,-0.82,-0.49,-0.57,-0.46,-0.44,-0.26,-0.31,-0.51,-0.67
1913,-0.57,-0.59,-0.45,-0.5,-0.62,-0.57,-0.57,-0.48,-0.44,-0.43,-0.12,0.1,-0.44,-0.49,-0.58,-0.52,-0.54,-0.33
1914,0.18,-0.11,-0.31,-0.38,-0.25,-0.28,-0.37,-0.23,-0.24,-0.01,-0.26,-0.12,-0.2,-0.18,0.05,-0.31,-0.3,-0.17
1915,-0.19,-0.03,-0.23,0.05,-0.04,-0.1,-0.06,-0.14,-0.14,-0.28,-0.02,-0.16,-0.11,-0.11,-0.12,-0.07,-0.1,-0.15
1916,-0.01,-0.11,-0.39,-0.34,-0.33,-0.43,-0.3,-0.31,-0.41,-0.26,-0.35,-1.1,-0.36,-0.28,-0.09,-0.35,-0.35,-0.34
1917,-0.56,-0.63,-0.68,-0.56,-0.74,-0.48,-0.31,-0.39,-0.23,-0.57,-0.21,-1.07,-0.53,-0.54,-0.76,-0.66,-0.39,-0.33
1918,-0.57,-0.39,-0.23,-0.61,-0.53,-0.43,-0.36,-0.33,-0.21,-0.02,-0.2,-0.52,-0.37,-0.41,-0.68,-0.45,-0.37,-0.15
1919,-0.37,-0.38,-0.36,-0.24,-0.44,-0.41,-0.34,-0.29,-0.13,-0.07,-0.47,-0.54,-0.34,-0.33,-0.43,-0.35,-0.34,-0.22
1920,-0.08,-0.2,0.08,-0.24,-0.22,-0.25,-0.23,-0.27,-0.3,-0.39,-0.43,-0.66,-0.26,-0.26,-0.27,-0.12,-0.25,-0.37
1921,0.25,-0.09,-0.07,-0.15,-0.23,-0.13,-0.02,-0.23,-0.12,0.02,-0.06,-0.11,-0.08,-0.12,-0.16,-0.15,-0.13,-0.06
1922,-0.37,-0.62,-0.06,-0.17,-0.2,-0.17,-0.25,-0.31,-0.36,-0.29,-0.1,-0.12,-0.25,-0.25,-0.37,-0.14,-0.24,-0.25
1923,-0.21,-0.43,-0.4,-0.52,-0.4,-0.19,-0.24,-0.22,-0.12,0.13,0.22,0.12,-0.19,-0.21,-0.25,-0.44,-0.22,0.08
1924,-0.26,-0.21,0.06,-0.27,-0.06,-0.15,-0.14,-0.21,-0.18,-0.2,0.14,-0.35,-0.15,-0.11,-0.11,-0.09,-0.17,-0.08
1925,-0.24,-0.35,-0.19,-0.15,-0.22,-0.24,-0.24,-0.12,0.02,-0.06,0.22,0.28,-0.11,-0.16,-0.31,-0.19,-0.2,0.06
1926,0.52,0.25,0.37,-0.11,-0.21,-0.16,-0.14,-0.07,-0.02,0.09,0.18,-0.27,0.04,0.08,0.35,0.02,-0.12,0.08
1927,-0.27,-0.08,-0.43,-0.28,-0.13,-0.1,-0.02,-0.08,0.08,0.27,0.15,-0.36,-0.1,-0.1,-0.21,-0.28,-0.07,0.17
1928,0.29,0.13,-0.26,-0.3,-0.15,-0.28,-0.08,-0.16,-0.09,-0.04,0.07,-0.07,-0.08,-0.1,0.02,-0.24,-0.17,-0.02
1929,-0.55,-0.81,-0.16,-0.32,-0.27,-0.34,-0.3,-0.14,-0.16,0.02,-0.01,-0.64,-0.31,-0.26,-0.48,-0.25,-0.26,-0.05
1930,-0.1,-0.19,0.16,-0.15,-0.18,-0.1,0.02,0.09,0.04,0.1,0.42,0.08,0.01,-0.05,-0.31,-0.06,0,0.18
1931,0.05,-0.28,0.01,-0.15,-0.13,0.17,0.11,0.11,0.19,0.31,0.15,0.04,0.05,0.05,-0.05,-0.09,0.13,0.22
