Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.03,0.03,0.05,-0.02,-0.12,-0.24,-0.18,0.06,-0.05,-0.14,-0.02,0.04,-0.05,***,***,-0.03,-0.12,-0.07
1881,-0.11,-0.09,0.06,0.1,0.09,-0.04,-0.07,-0.02,-0.04,-0.02,-0.01,0.07,-0.01,-0.01,-0.05,0.09,-0.04,-0.02
1882,0.07,0.08,0.07,-0.01,0,-0.13,-0.04,0.03,-0.03,0.02,0,-0.08,0,0.01,0.07,0.02,-0.05,0
1883,-0.04,-0.1,-0.09,-0.06,-0.07,0.01,-0.06,-0.04,-0.07,-0.06,-0.04,-0.05,-0.06,-0.06,-0.07,-0.08,-0.03,-0.06
1884,-0.07,-0.05,-0.09,-0.23,-0.31,-0.3,-0.22,-0.03,-0.1,-0.08,-0.12,-0.17,-0.15,-0.14,-0.06,-0.21,-0.18,-0.1
1885,-0.2,-0.24,-0.3,-0.33,-0.29,-0.41,-0.33,-0.19,-0.16,-0.1,-0.13,-0.1,-0.23,-0.24,-0.2,-0.31,-0.31,-0.13
1886,-0.18,-0.24,-0.21,-0.22,-0.18,-0.35,-0.24,-0.21,-0.17,-0.25,-0.18,-0.34,-0.23,-0.21,-0.17,-0.2,-0.26,-0.2
1887,-0.39,-0.46,-0.31,-0.34,-0.36,-0.27,-0.23,-0.13,-0.27,-0.24,-0.27,-0.24,-0.29,-0.3,-0.4,-0.34,-0.21,-0.26
1888,-0.22,-0.13,-0.25,-0.21,-0.28,-0.32,-0.22,-0.11,-0.07,0.01,0.06,0.13,-0.13,-0.16,-0.2,-0.25,-0.22,0
1889,0.08,0.02,0.09,0,0.01,-0.14,-0.09,-0.22,-0.17,-0.11,-0.05,-0.04,-0.05,-0.04,0.08,0.03,-0.15,-0.11
1890,-0.23,-0.33,-0.35,-0.37,-0.43,-0.32,-0.29,-0.38,-0.38,-0.4,-0.27,-0.19,-0.33,-0.32,-0.2,-0.38,-0.33,-0.35
1891,-0.24,-0.26,-0.24,-0.23,-0.15,-0.25,-0.27,-0.23,-0.24,-0.16,-0.13,-0.05,-0.2,-0.22,-0.23,-0.21,-0.25,-0.18
1892,-0.11,-0.07,-0.14,-0.21,-0.22,-0.35,-0.27,-0.21,-0.13,-0.02,-0.03,-0.13,-0.16,-0.15,-0.08,-0.19,-0.28,-0.06
1893,-0.13,-0.19,-0.17,-0.29,-0.28,-0.35,-0.19,-0.2,-0.18,-0.09,-0.07,-0.06,-0.18,-0.19,-0.15,-0.25,-0.24,-0.12
